disease,precaution_1,precaution_2,precaution_3,precaution_4
Acute Bronchitis,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Arthritis Of The Hip,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Bursitis,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Complex Regional Pain Syndrome,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Conjunctivitis Due To Allergy,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Cystitis,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Diverticulitis,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Esophagitis,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Fungal Infection Of The Hair,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Gastrointestinal Hemorrhage,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Gout,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Hypoglycemia,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Infectious Gastroenteritis,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Injury To The Arm,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Liver Disease,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Marijuana Abuse,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Nose Disorder,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Peripheral Nerve Disorder,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Pneumonia,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Spondylosis,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Spontaneous Abortion,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Sprain Or Strain,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Strep Throat,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Vaginal Cyst,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
Vulvodynia,Monitor your symptoms and note any changes,Rest adequately and stay well hydrated,Avoid self-medicating without professional advice,"Consult a doctor for proper evaluation, especially if symptoms worsen or persist"
